City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Mar Del Plata,AR,-38.0023,-57.5575,63.09,74,100,25.01,light rain
158,Lianran,CN,24.9227,102.485,57.74,26,0,13.35,clear sky
159,Margate,GB,51.3813,1.3862,42.51,86,45,4.0,scattered clouds
160,Lahij,YE,13.1667,44.5833,68.36,71,10,4.27,clear sky
161,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,29.93,light snow
162,Alyangula,AU,-13.8483,136.4192,89.47,70,75,3.44,broken clouds
163,San Cristobal,VE,7.7669,-72.225,68.18,84,84,0.72,broken clouds
164,Ovalle,CL,-30.5983,-71.2003,68.4,69,1,2.28,clear sky
165,Bandarbeyla,SO,9.4942,50.8122,77.38,53,44,16.91,scattered clouds
166,Husavik,IS,66.0449,-17.3389,19.31,84,96,8.19,overcast clouds
167,Ponta Do Sol,PT,32.6667,-17.1,64.06,69,8,5.97,clear sky
168,Great Yarmouth,GB,52.6083,1.7305,40.01,89,59,16.35,broken clouds
169,Evensk,RU,61.95,159.2333,-7.98,80,21,4.32,few clouds
170,Acapulco,MX,16.8634,-99.8901,78.62,69,100,3.44,overcast clouds
171,Bambous Virieux,MU,-20.3428,57.7575,83.21,89,40,0.0,scattered clouds
172,Ballina,AU,-28.8667,153.5667,78.98,86,75,14.97,broken clouds
173,Katsuura,JP,35.1333,140.3,46.51,47,69,5.91,broken clouds
174,Arraial Do Cabo,BR,-22.9661,-42.0278,74.46,84,100,0.74,overcast clouds
175,Cherskiy,RU,68.75,161.3,-33.27,99,100,6.38,overcast clouds
176,Pangkalanbuun,ID,-2.6833,111.6167,75.43,92,100,2.64,overcast clouds
177,Karratha,AU,-20.7377,116.8463,94.62,46,7,13.87,clear sky
178,Stornoway,GB,58.2093,-6.3865,46.92,92,100,28.77,light rain
179,Bartow,US,27.8964,-81.8431,64.49,80,0,0.0,clear sky
180,Kholm,RU,59.2667,32.85,18.32,93,89,8.48,overcast clouds
181,Linping,CN,30.4225,120.2972,48.94,89,100,4.38,overcast clouds
182,Alofi,NU,-19.0595,-169.9187,82.29,74,48,14.97,scattered clouds
183,Castro,BR,-24.7911,-50.0119,57.31,98,9,5.21,clear sky
184,Carutapera,BR,-1.195,-46.02,76.19,91,96,6.82,overcast clouds
185,Saint George,US,37.1041,-113.5841,63.19,25,0,18.41,clear sky
186,East London,ZA,-33.0153,27.9116,72.54,94,75,3.44,broken clouds
187,Seoul,KR,37.5683,126.9778,53.11,28,0,8.05,haze
188,Magadan,RU,59.5667,150.8,11.53,80,97,2.37,overcast clouds
189,Klyuchi,RU,52.2667,79.1667,-3.05,95,24,9.98,few clouds
190,Artyom,AZ,40.4723,50.333,42.94,80,9,15.46,clear sky
191,Ostrovnoy,RU,68.0531,39.5131,16.77,94,98,6.96,overcast clouds
192,Japura,ID,-0.3167,102.35,81.34,75,100,3.4,overcast clouds
193,Santa Cruz,BO,-17.8,-63.1667,78.26,89,75,6.91,broken clouds
194,Kalabo,ZM,-14.97,22.6814,65.71,96,100,4.68,overcast clouds
195,Nekhayevskiy,RU,50.4106,41.7561,29.52,87,100,2.19,overcast clouds
196,Port Hardy,CA,50.6996,-127.4199,42.76,100,20,2.3,few clouds
197,Tarko-Sale,RU,64.9225,77.785,-8.28,87,3,12.59,clear sky
198,Bilibino,RU,68.0546,166.4372,-33.5,100,66,1.41,broken clouds
199,Lagoa,PT,39.05,-27.9833,59.29,80,95,17.56,overcast clouds
200,Miraflores,MX,19.2167,-98.8083,58.03,57,49,4.07,scattered clouds
201,Pisco,PE,-13.7,-76.2167,69.85,73,0,9.22,clear sky
202,Mahebourg,MU,-20.4081,57.7,83.25,89,40,0.0,scattered clouds
203,Svetlogorsk,BY,52.6333,29.7333,29.89,93,100,7.76,overcast clouds
204,Tortoli,IT,39.9256,9.6572,46.22,81,0,11.5,clear sky
205,Coquimbo,CL,-29.9533,-71.3436,64.13,82,0,2.3,clear sky
206,Merauke,ID,-8.4667,140.3333,86.22,63,48,8.03,scattered clouds
207,Humaita,BR,-7.5061,-63.0208,73.54,97,100,1.97,light rain
208,Paralimni,CY,35.0375,33.9833,53.42,78,0,7.0,clear sky
209,Santa Cruz De Tenerife,ES,28.4682,-16.2546,66.61,87,75,15.99,mist
210,Nouadhibou,MR,20.931,-17.0347,68.27,52,80,10.78,broken clouds
211,Trelew,AR,-43.249,-65.3051,62.37,44,84,14.32,broken clouds
212,Iquique,CL,-20.2208,-70.1431,68.04,75,3,1.54,clear sky
213,Boa Vista,BR,2.8197,-60.6733,80.58,65,0,11.5,clear sky
214,Shihezi,CN,44.3,86.0333,14.97,89,100,3.27,overcast clouds
215,Moyale,KE,3.5167,39.0584,71.15,27,50,5.86,scattered clouds
216,Kruisfontein,ZA,-34.0033,24.7314,66.36,63,0,3.65,clear sky
217,Akom,CM,2.6678,12.7109,62.78,98,19,2.62,few clouds
218,Tepechitlan,MX,21.6667,-103.3333,50.65,47,0,3.47,clear sky
219,Eureka,US,40.8021,-124.1637,51.58,87,83,2.51,broken clouds
220,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,81,94,5.08,overcast clouds
221,Paamiut,GL,61.994,-49.6678,32.52,78,100,31.85,overcast clouds
222,Anori,BR,-3.7728,-61.6442,72.66,97,100,2.8,overcast clouds
223,Buchanan,LR,5.8808,-10.0467,77.94,88,60,4.29,broken clouds
224,Denpasar,ID,-8.65,115.2167,85.71,74,20,9.22,few clouds
225,Mbandaka,CD,0.0487,18.2603,73.09,60,99,3.09,overcast clouds
226,Nchelenge,ZM,-9.3451,28.734,66.83,90,100,4.52,overcast clouds
227,Bemidji,US,47.4736,-94.8803,-8.86,78,0,9.22,clear sky
228,Waingapu,ID,-9.6567,120.2641,83.28,73,100,1.63,overcast clouds
229,Port Shepstone,ZA,-30.7414,30.455,76.19,81,2,4.0,clear sky
230,Aklavik,CA,68.2191,-135.0107,-22.97,98,8,9.33,clear sky
231,Bengkulu,ID,-3.8004,102.2655,82.69,65,100,5.55,overcast clouds
232,Wapi Pathum,TH,15.8452,103.3768,93.33,37,22,6.53,few clouds
233,Saint-Denis,FR,48.9167,2.3333,36.37,85,0,5.75,clear sky
234,Talcahuano,CL,-36.7167,-73.1167,56.88,77,0,4.61,clear sky
235,Luba,GQ,3.4568,8.5547,78.69,84,17,4.68,few clouds
236,Boueni,YT,-12.9025,45.0761,80.58,76,97,6.02,light rain
237,Nador,MA,35.174,-2.9287,50.25,87,40,2.3,scattered clouds
238,Porto Novo,BJ,6.4965,2.6036,82.22,92,8,4.43,clear sky
239,Refojos De Basto,PT,41.5132,-7.9952,47.68,93,69,3.42,broken clouds
240,Sitka,US,57.0531,-135.33,42.69,87,100,8.05,heavy intensity rain
