City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Port-Gentil,GA,80.13,overcast clouds,-0.7193,8.7815,Fengshui Residence
504,Kralendijk,BQ,78.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
510,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
517,Guhagar,IN,87.46,scattered clouds,17.4842,73.1929,Hotel Seawinds
523,Santa Rosa,PH,89.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
524,Axim,GH,77.56,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
526,Alugan,PH,79.03,moderate rain,12.2188,125.4808,JM Lodge
528,Rio Grande,BR,75.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
536,Dhidhdhoo,MV,80.8,broken clouds,6.8833,73.1,Dhidhoo beach
537,Kulhudhuffushi,MV,81.21,overcast clouds,6.6221,73.07,Haajy Guest House 1
542,Bambanglipuro,ID,76.6,overcast clouds,-7.95,110.2833,Puri Brata
546,Chinna Salem,IN,82.78,scattered clouds,11.65,78.9,SVA Lodge
549,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
560,Ende,ID,80.04,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
564,Manokwari,ID,81.64,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
568,Samarai,PG,83.32,scattered clouds,-10.6167,150.6667,Nuli Sapi
569,Saint-Joseph,RE,82.76,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
573,Porto Belo,BR,78.26,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
575,Lakatoro,VU,83.73,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
598,Kieta,PG,80.33,light rain,-6.2167,155.6333,Uruna Bay Retreat
599,Palu,ID,77.16,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
607,San Miguel,SV,80.26,clear sky,13.4833,-88.1833,Hotel Tropico Inn San Miguel
621,Port Keats,AU,88.5,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
625,Kavaratti,IN,80.51,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
635,Hobyo,SO,78.48,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
639,Ugoofaaru,MV,81.41,overcast clouds,5.6667,73.0,Ungoofaaru Inn
640,Karangasem,ID,85.14,overcast clouds,-8.45,115.6167,Villa Campuhan
643,Paka,MY,76.98,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
644,Lamu,KE,75.42,scattered clouds,-2.2717,40.902,Lamu House
651,Sola,VU,77.59,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
655,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Timotel Hotel
660,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
666,Saint-Pierre,RE,83.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
678,Kerema,PG,83.75,overcast clouds,-7.9631,145.7785,Frena Lodge
679,Newcastle,AU,80.19,broken clouds,-32.9272,151.7765,NOAH'S on the beach
683,Port Pirie,AU,82.49,clear sky,-33.1833,138.0167,John Pirie Motor Inn
685,Manadhoo,MV,81.99,overcast clouds,5.7667,73.3833,Bon Abri maldives
686,Sungaipenuh,ID,79.66,overcast clouds,-2.0833,101.3833,penginapan citra alam
