City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Pacific Grove,US,2022-02-06 17:16:39,36.6177,-121.9166,58.44,64,0,3.0
97,Ilulissat,GL,2022-02-06 17:11:41,69.2167,-51.1,1.42,46,100,6.91
98,Novikovo,RU,2022-02-06 17:15:25,51.1537,37.8879,30.42,94,100,10.38
99,New Norfolk,AU,2022-02-06 17:16:40,-42.7826,147.0587,53.71,71,40,2.1
100,Busselton,AU,2022-02-06 17:15:03,-33.65,115.3333,55.09,66,77,18.95
101,Sika,GM,2022-02-06 17:16:41,13.3546,-16.345,98.74,15,0,4.41
102,Nikolskoye,RU,2022-02-06 17:16:02,59.7035,30.7861,34.88,94,100,12.3
103,Komsomolskiy,UZ,2022-02-06 17:16:41,40.4272,71.7189,41.72,81,75,9.22
104,Tuktoyaktuk,CA,2022-02-06 17:16:06,69.4541,-133.0374,-20.2,69,100,16.11
105,Aswan,EG,2022-02-06 17:16:41,24.0934,32.907,62.69,26,0,12.24
106,Sisimiut,GL,2022-02-06 17:16:42,66.9395,-53.6735,0.01,90,100,7.56
107,Hilo,US,2022-02-06 17:16:42,19.7297,-155.09,68.79,96,100,5.75
108,Vardo,NO,2022-02-06 17:16:42,70.3705,31.1107,24.78,80,75,21.85
109,Cidreira,BR,2022-02-06 17:12:27,-30.1811,-50.2056,81.48,51,18,12.66
110,Saint-Augustin,CA,2022-02-06 17:16:43,51.226,-58.6502,-2.24,69,16,16.6
111,Camacha,PT,2022-02-06 17:16:44,33.0833,-16.3333,61.54,67,75,17.27
112,Yumen,CN,2022-02-06 17:16:44,40.2833,97.2,13.6,82,7,14.9
113,Riyadh,SA,2022-02-06 17:16:45,24.6877,46.7219,57.34,34,0,9.66
114,San Patricio,US,2022-02-06 17:16:45,28.017,-97.5169,59.09,64,0,3.44
115,Kazerun,IR,2022-02-06 17:16:45,29.6195,51.6541,48.42,59,0,4.43
116,Shache,CN,2022-02-06 17:16:46,38.4167,77.2406,31.71,56,100,3.71
117,Lipany,SK,2022-02-06 17:16:46,49.1538,20.9638,39.42,85,99,7.7
118,Rawson,AR,2022-02-06 17:16:47,-43.3002,-65.1023,74.23,37,24,15.43
119,Saint-Joseph,RE,2022-02-06 17:16:47,-21.3667,55.6167,79.16,78,99,11.27
120,Punta Arenas,CL,2022-02-06 17:15:36,-53.15,-70.9167,69.91,46,75,17.27
121,Benghazi,LY,2022-02-06 17:16:47,32.1167,20.0667,61.84,63,32,5.1
122,Norman Wells,CA,2022-02-06 17:16:48,65.282,-126.8329,-14.76,70,75,13.8
123,Khani,GE,2022-02-06 17:16:48,41.9563,42.9566,24.37,99,100,1.36
124,Barrow,US,2022-02-06 17:16:49,71.2906,-156.7887,-23.78,76,20,6.91
125,Longyearbyen,SJ,2022-02-06 17:16:49,78.2186,15.6401,19.24,63,40,19.57
126,Ko Samui,TH,2022-02-06 17:16:50,9.5357,99.9357,80.87,74,72,5.7
127,Nanortalik,GL,2022-02-06 17:16:08,60.1432,-45.2371,13.73,72,100,18.48
128,Guilin,CN,2022-02-06 17:16:50,25.2819,110.2864,42.91,96,100,4.5
129,Clyde River,CA,2022-02-06 17:16:50,70.4692,-68.5914,-30.77,68,0,5.75
130,East London,ZA,2022-02-06 17:16:51,-33.0153,27.9116,74.34,88,40,16.11
131,Bowen,AU,2022-02-06 17:16:51,-20.0167,148.2333,75.81,76,77,15.39
132,Sao Filipe,CV,2022-02-06 17:16:52,14.8961,-24.4956,75.13,68,0,10.58
133,Lata,PT,2022-02-06 17:16:52,40.1629,-8.3327,60.71,39,56,6.06
134,Portland,US,2022-02-06 17:13:16,45.5234,-122.6762,46.17,88,100,7.0
135,Thompson,CA,2022-02-06 17:16:06,55.7435,-97.8558,-21.84,69,20,3.44
136,Ballina,AU,2022-02-06 17:17:53,-28.8667,153.5667,62.78,97,91,16.55
137,Cayenne,GF,2022-02-06 17:17:53,4.9333,-52.3333,82.09,83,100,3.0
138,Alice Springs,AU,2022-02-06 17:15:48,-23.7,133.8833,62.15,88,0,2.3
139,Padampur,IN,2022-02-06 17:17:53,29.6833,73.6167,58.24,42,4,8.84
140,Galway,IE,2022-02-06 17:15:57,53.2719,-9.0489,46.35,69,91,19.69
141,Tres Lagoas,BR,2022-02-06 17:17:54,-20.7511,-51.6783,84.24,70,49,6.4
142,Port Alfred,ZA,2022-02-06 17:17:54,-33.5906,26.891,76.17,81,0,30.58
143,Lorengau,PG,2022-02-06 17:17:55,-2.0226,147.2712,81.52,79,97,6.11
144,Marzuq,YE,2022-02-06 17:17:55,14.4,46.4667,68.49,34,39,1.14
145,Pevek,RU,2022-02-06 17:16:27,69.7008,170.3133,-24.43,99,29,1.34
146,Rocha,UY,2022-02-06 17:17:56,-34.4833,-54.3333,73.33,40,71,17.43
147,Tahlequah,US,2022-02-06 17:17:56,35.9154,-94.97,43.84,63,52,9.35
148,Ewa Beach,US,2022-02-06 17:13:28,21.3156,-158.0072,73.69,77,0,5.99
149,Kutum,SD,2022-02-06 17:17:57,14.2,24.6667,61.27,13,50,11.88
150,Avera,US,2022-02-06 17:17:57,33.194,-82.5271,47.75,47,61,11.32
151,Inyonga,TZ,2022-02-06 17:17:57,-6.7167,32.0667,66.47,89,100,3.33
152,Baghdad,IQ,2022-02-06 17:17:14,33.3406,44.4009,53.51,43,0,3.44
153,Lamut,PH,2022-02-06 17:17:58,16.6491,121.2247,69.67,96,100,2.33
154,College,US,2022-02-06 17:17:58,64.8569,-147.8028,-0.71,78,100,3.44
155,Ancud,CL,2022-02-06 17:17:59,-41.8697,-73.8203,78.22,69,10,6.53
156,Setermoen,NO,2022-02-06 17:17:59,68.861,18.3486,28.36,87,99,8.23
157,La Ronge,CA,2022-02-06 17:18:00,55.1001,-105.2842,-5.58,77,75,8.05
158,Altamira,BR,2022-02-06 17:18:00,-3.2033,-52.2064,86.09,74,75,8.05
159,Dahuk,IQ,2022-02-06 17:18:00,36.8695,42.994,43.11,67,53,1.86
160,Lebu,CL,2022-02-06 17:14:48,-37.6167,-73.65,67.19,61,0,13.6
161,Pundaguitan,PH,2022-02-06 17:18:01,6.3711,126.1689,80.65,77,35,21.85
162,Chuy,UY,2022-02-06 17:16:32,-33.6971,-53.4616,70.57,52,75,15.19
163,Iqaluit,CA,2022-02-06 17:15:09,63.7506,-68.5145,-32.31,66,20,4.0
164,Nadym,RU,2022-02-06 17:18:02,65.5333,72.5167,-20.02,100,43,4.52
165,Grindavik,IS,2022-02-06 17:17:46,63.8424,-22.4338,27.07,80,75,9.22
166,Provideniya,RU,2022-02-06 17:16:45,64.3833,-173.3,-3.46,80,0,7.74
167,Petropavl,KZ,2022-02-06 17:18:02,54.8753,69.1628,2.75,80,86,8.1
168,Sidney,AU,2022-02-06 17:14:06,-33.8679,151.2073,65.5,87,75,3.0
169,Kodiak,US,2022-02-06 17:18:03,57.79,-152.4072,38.71,65,0,3.44
170,Saskylakh,RU,2022-02-06 17:18:03,71.9167,114.0833,-26.75,100,97,1.32
171,Vestmannaeyjar,IS,2022-02-06 17:18:04,63.4427,-20.2734,31.19,69,0,11.5
172,Yulara,AU,2022-02-06 17:18:04,-25.2406,130.9889,71.44,40,0,6.91
173,Maniwaki,CA,2022-02-06 17:18:04,46.3834,-75.966,10.78,48,100,11.5
174,Dingle,PH,2022-02-06 17:18:05,10.9995,122.6711,74.84,88,49,8.12
175,Narrabri,AU,2022-02-06 17:18:05,-30.3167,149.7833,59.52,79,0,4.0
176,Clarence Town,AU,2022-02-06 17:18:05,-32.5833,151.7833,70.86,88,93,3.85
177,Kieta,PG,2022-02-06 17:18:06,-6.2167,155.6333,79.81,82,96,6.44
178,Shahganj,IN,2022-02-06 17:18:06,26.05,82.6833,55.31,72,0,4.03
179,Mairang,IN,2022-02-06 17:18:06,25.5667,91.6333,36.52,93,18,0.6
180,Okmulgee,US,2022-02-06 17:18:07,35.6234,-95.9605,43.21,45,0,4.61
181,Zheleznodorozhnyy,RU,2022-02-06 17:18:07,55.7503,38.0042,23.22,99,97,3.31
182,Cockburn Town,TC,2022-02-06 17:18:07,21.4612,-71.1419,78.76,47,40,10.36
183,Fier,AL,2022-02-06 17:19:08,40.7239,19.5561,52.47,74,18,2.04
184,Ahipara,NZ,2022-02-06 17:19:08,-35.1667,173.1667,72.09,98,100,8.12
185,Uruacu,BR,2022-02-06 17:19:09,-14.5247,-49.1408,81.73,71,76,4.92
186,Port Blair,IN,2022-02-06 17:19:09,11.6667,92.75,80.64,83,20,8.05
187,Salalah,OM,2022-02-06 17:19:09,17.0151,54.0924,77.09,78,0,1.14
188,Alto Araguaia,BR,2022-02-06 17:19:10,-17.3147,-53.2153,85.84,57,96,2.46
189,Mahebourg,MU,2022-02-06 17:19:10,-20.4081,57.7,79.25,83,40,11.5
190,Sao Joao Da Barra,BR,2022-02-06 17:19:10,-21.6403,-41.0511,87.89,80,7,15.68
191,Touros,BR,2022-02-06 17:16:05,-5.1989,-35.4608,90.5,54,15,12.91
192,Kamnik,SI,2022-02-06 17:19:11,46.2259,14.6121,45.99,77,75,2.3
193,Coihaique,CL,2022-02-06 17:19:12,-45.5752,-72.0662,77.61,40,7,3.67
194,Isangel,VU,2022-02-06 17:19:12,-19.55,169.2667,79.2,90,100,13.42
195,Fairbanks,US,2022-02-06 17:19:12,64.8378,-147.7164,-0.69,76,100,5.75
196,Bonoua,CI,2022-02-06 17:19:13,5.2741,-3.595,82.02,64,64,10.33
197,Georgetown,MY,2022-02-06 17:15:16,5.4112,100.3354,77.95,94,40,0.0
198,Hamilton,US,2022-02-06 17:15:03,39.1834,-84.5333,36.63,66,0,1.99
199,Blythe,US,2022-02-06 17:16:37,33.6103,-114.5964,58.03,16,0,3.44
200,Cafelandia,BR,2022-02-06 17:19:14,-21.8025,-49.61,88.25,62,73,9.06
201,Sokoni,TZ,2022-02-06 17:19:14,-6.4333,39.55,81.01,84,100,13.22
202,Iskateley,RU,2022-02-06 17:19:14,67.6803,53.1512,9.48,84,85,17.16
203,Tongren,CN,2022-02-06 17:19:15,27.7172,109.1853,34.66,99,100,2.86
204,Vila,PT,2022-02-06 17:19:15,42.0304,-8.1588,49.33,62,49,4.54
205,Khash,IR,2022-02-06 17:19:15,28.2211,61.2158,52.72,40,0,5.46
206,Dingalan,PH,2022-02-06 17:19:16,15.3897,121.3929,74.61,91,82,11.65
207,Ostrovnoy,RU,2022-02-06 17:16:38,68.0531,39.5131,14.68,85,100,22.1
208,Hagere Selam,ET,2022-02-06 17:19:16,6.4833,38.5167,58.62,36,99,2.73
209,Jalu,LY,2022-02-06 17:19:16,29.0331,21.5482,63.12,25,4,3.49
210,Brae,GB,2022-02-06 17:19:17,60.3964,-1.353,39.11,59,100,30.4
211,Dehloran,IR,2022-02-06 17:19:17,32.6941,47.2679,53.94,47,0,7.76
212,Uddevalla,SE,2022-02-06 17:19:13,58.3478,11.9424,37.15,85,77,7.94
213,Ponta Do Sol,PT,2022-02-06 17:16:05,32.6667,-17.1,65.12,53,11,12.06
214,Kawalu,ID,2022-02-06 17:19:18,-7.3817,108.2082,74.08,95,100,2.68
215,Lozova,UA,2022-02-06 17:19:18,48.8894,36.3176,29.52,92,100,9.13
216,Kokkola,FI,2022-02-06 17:19:18,63.8385,23.1307,32.94,93,100,5.01
217,Kloulklubed,PW,2022-02-06 17:19:19,7.0419,134.2556,77.5,81,100,21.92
218,Mbanza-Ngungu,CD,2022-02-06 17:19:19,-5.25,14.8667,73.29,85,76,2.37
219,Kailua,US,2022-02-06 17:16:44,21.4022,-157.7394,73.15,85,23,1.99
220,Tukrah,LY,2022-02-06 17:19:20,32.5341,20.5791,58.51,68,17,7.36
221,Coahuayana,MX,2022-02-06 17:19:20,18.7333,-103.6833,83.68,28,4,3.89
222,Tautira,PF,2022-02-06 17:17:15,-17.7333,-149.15,80.62,75,58,22.06
223,Puerto Ayora,EC,2022-02-06 17:19:21,-0.7393,-90.3518,80.56,87,64,7.0
224,Gamba,GA,2022-02-06 17:19:21,-2.65,10.0,80.73,75,41,6.33
225,Beringovskiy,RU,2022-02-06 17:19:21,63.05,179.3167,-17.1,98,18,8.97
226,Ust-Nera,RU,2022-02-06 17:20:22,64.5667,143.2,-24.18,76,6,3.22
227,Port-Gentil,GA,2022-02-06 17:20:22,-0.7193,8.7815,80.62,76,6,9.15
228,Foumban,CM,2022-02-06 17:20:22,5.7291,10.9001,80.67,17,27,0.69
229,Wuwei,CN,2022-02-06 17:20:23,37.9281,102.6414,13.08,96,99,1.92
230,Sajanan,TN,2022-02-06 17:20:23,37.0573,9.2426,54.52,86,100,9.78
231,Shimorskoye,RU,2022-02-06 17:20:23,55.3244,42.0267,14.52,97,99,4.94
232,Uyuni,BO,2022-02-06 17:20:24,-20.4597,-66.825,61.59,26,35,7.23
233,Nome,US,2022-02-06 17:20:24,64.5011,-165.4064,-0.33,50,0,13.8
234,Rundu,NA,2022-02-06 17:20:24,-17.9333,19.7667,73.09,75,84,2.71
235,Faanui,PF,2022-02-06 17:20:25,-16.4833,-151.75,81.63,75,96,20.92
236,Contamana,PE,2022-02-06 17:20:25,-7.3333,-75.0167,88.56,62,100,5.59
237,Usinsk,RU,2022-02-06 17:20:25,65.9939,57.5281,-9.42,92,68,6.53
238,Borovskoy,KZ,2022-02-06 17:20:16,53.8,64.15,4.35,87,81,7.47
239,Chokurdakh,RU,2022-02-06 17:20:26,70.6333,147.9167,-39.28,100,99,2.21
240,Shebekino,RU,2022-02-06 17:20:26,50.4097,36.9136,34.27,93,100,10.56
241,Aylmer,CA,2022-02-06 17:20:27,42.7668,-80.983,28.06,83,14,16.2
242,Cherskiy,RU,2022-02-06 17:20:27,68.75,161.3,-30.3,100,33,2.1
243,Zermatt,CH,2022-02-06 17:20:27,46.0213,7.7491,30.63,79,75,20.71
244,Abalak,RU,2022-02-06 17:20:28,58.1286,68.5944,11.17,94,100,5.61
245,Esperance,AU,2022-02-06 17:18:56,-33.8667,121.9,66.04,87,21,27.69
246,Uarini,BR,2022-02-06 17:20:28,-2.99,-65.1083,85.95,71,95,3.44
247,Valparaiso,CL,2022-02-06 17:20:29,-33.0393,-71.6273,67.64,77,75,6.91
248,Luderitz,NA,2022-02-06 17:16:32,-26.6481,15.1594,69.33,76,22,9.37
249,Suleya,RU,2022-02-06 17:20:29,55.1352,58.8792,11.5,94,100,3.69
250,Mount Gambier,AU,2022-02-06 17:20:29,-37.8333,140.7667,61.95,62,1,5.93
251,Slantsy,RU,2022-02-06 17:20:30,59.1182,28.0914,32.16,97,100,12.19
252,Schongau,DE,2022-02-06 17:20:30,47.8167,10.9,41.68,83,100,22.84
253,Bellavista,PE,2022-02-06 17:20:31,-7.0561,-76.5911,87.08,68,96,2.39
254,Raudeberg,NO,2022-02-06 17:20:31,61.9875,5.1352,38.19,85,100,1.99
255,Noumea,NC,2022-02-06 17:20:31,-22.2763,166.4572,75.18,90,100,3.24
256,Sur,OM,2022-02-06 17:20:32,22.5667,59.5289,71.74,71,0,8.25
257,Vaitape,PF,2022-02-06 17:20:32,-16.5167,-151.75,81.63,75,95,21.05
258,Davenda,RU,2022-02-06 17:20:32,53.5556,119.317,-2.94,96,63,2.95
259,Takoradi,GH,2022-02-06 17:20:33,4.8845,-1.7554,82.76,71,81,10.58
260,Roma,US,2022-02-06 17:16:37,43.2128,-75.4557,27.82,54,0,12.66
261,Matara,LK,2022-02-06 17:20:33,5.9485,80.5353,77.16,78,87,2.48
262,Airai,TL,2022-02-06 17:18:45,-8.9266,125.4092,61.59,92,68,0.96
263,San Quintin,MX,2022-02-06 17:20:34,30.4833,-115.95,60.62,32,1,0.58
264,Puerto Madryn,AR,2022-02-06 17:20:34,-42.7692,-65.0385,72.66,41,5,16.2
265,Berlevag,NO,2022-02-06 17:17:14,70.8578,29.0864,24.8,86,63,21.85
266,Ribeira Grande,PT,2022-02-06 17:20:35,38.5167,-28.7,63.0,82,40,11.5
267,Canete,CL,2022-02-06 17:20:35,-37.8,-73.4,75.61,40,0,7.85
268,Namibe,AO,2022-02-06 17:20:35,-15.1961,12.1522,76.01,66,86,14.36
269,Vasterhaninge,SE,2022-02-06 17:20:36,59.1167,18.1,36.93,79,13,9.33
270,Kathmandu,NP,2022-02-06 17:19:57,27.7167,85.3167,46.62,93,20,3.44
271,Broome,US,2022-02-06 17:21:36,42.2506,-75.833,26.56,62,0,3.0
272,Ngunguru,NZ,2022-02-06 17:21:37,-35.6167,174.5,73.17,99,100,7.02
273,Cabo San Lucas,MX,2022-02-06 17:20:49,22.8909,-109.9124,71.51,70,20,1.99
274,Litovko,RU,2022-02-06 17:21:37,49.2361,135.1742,-14.75,100,91,1.5
275,Mugango,TZ,2022-02-06 17:21:38,-1.6833,33.7,71.85,68,97,4.59
276,Visnes,NO,2022-02-06 17:21:38,59.3556,5.2242,38.21,87,20,20.71
277,Broken Hill,AU,2022-02-06 17:21:38,-31.95,141.4333,73.9,34,16,12.73
278,Vila Franca Do Campo,PT,2022-02-06 17:21:14,37.7167,-25.4333,64.2,85,75,13.89
279,Chiredzi,ZW,2022-02-06 17:21:39,-21.05,31.6667,78.98,51,96,2.71
280,Dubbo,AU,2022-02-06 17:21:39,-32.25,148.6167,55.53,94,34,8.05
281,Vieques,PR,2022-02-06 17:21:40,18.425,-65.8329,80.89,88,75,9.22
282,Nioro,GM,2022-02-06 17:21:40,13.35,-15.75,101.98,6,1,5.64
283,Tual,ID,2022-02-06 17:21:40,-5.6667,132.75,82.85,76,100,6.73
284,Natal,BR,2022-02-06 17:21:41,-5.795,-35.2094,90.25,62,20,13.8
285,Ise,JP,2022-02-06 17:21:41,34.4833,136.7,36.72,64,75,15.37
286,Belyy Yar,RU,2022-02-06 17:21:41,53.6039,91.3903,-2.31,84,98,4.47
287,Sendhwa,IN,2022-02-06 17:21:42,21.6833,75.1,71.8,23,1,3.31
288,Aleksandro-Nevskiy,RU,2022-02-06 17:21:42,53.4751,40.2095,20.26,79,87,7.25
289,Pisco,PE,2022-02-06 17:21:42,-13.7,-76.2167,71.02,83,40,9.22
290,Port Hardy,CA,2022-02-06 17:20:39,50.6996,-127.4199,46.76,81,100,14.97
291,Marienburg,PL,2022-02-06 17:21:43,54.0359,19.0266,42.85,91,100,16.33
292,Capreol,CA,2022-02-06 17:21:43,46.706,-80.9225,23.56,92,100,1.99
293,Manakara,MG,2022-02-06 17:21:44,-22.1333,48.0167,78.26,93,100,14.97
294,Sao Felix Do Xingu,BR,2022-02-06 17:21:44,-6.6447,-51.995,87.17,62,98,3.87
295,Aldan,RU,2022-02-06 17:21:44,58.6031,125.3894,-15.84,92,14,5.19
